SITE,Elevation,Profile Area,Height,Half-height,Latitude,Longitude,No.Species,Total density
Thurston,60,46.2,25.6,5.5,46.82,123,37,14
Goshen,45,36.8,21.5,9.3,44.03,122.96,21,7.9
Rogue,NA,29.2,10.8,4.3,42.45,123.12,26,9.15
MadR,985,46.62,23.9,12.8,40.43,123.51,27,8.45
Redding,NA,21.2,11.5,2.3,40.64,122.28,21,7.25
Chico,40,30.6,15.2,4.2,39.77,121.78,21,10.17
Glenn,26,NA,NA,NA,39.58,122,28,9.125
Sutter,68,24.6,8.98,3.87,39.25,121.77,22,2.988
Carmichael,21,42.8,24.24,5.33,38.62,121.3,22,11.7
Sonoma,147,NA,NA,NA,38.33,122.5,26,3.255
Solano,92,NA,11.5,NA,38.27,122.17,47,10.32
CCCo,NA,NA,NA,NA,37.95,121.92,26,8.46
Bolinas,60,31.6,13.24,3.88,37.92,122.75,29,11.3
Hayward,66,40,20.45,8.09,37.65,122.04,34,13.8
Jasper,167,40.4,18.99,6.91,37.41,122.23,28,12.35
SierrGlen,1030,25,10,2,36.68,118.96,25,13.4
Miramonte,NA,23,8.5,1.5,36.62,119.04,19,6.2
Hastings,583,20.4,7.88,0.61,36.38,121.55,32,4.26
Big.Ck,260,36.2,18.56,7.06,36,121.44,32,8.9
Lompoc,NA,27.8,10.33,3.33,34.64,120.26,29,11.65
StaBarbara,NA,NA,20,NA,34.46,119.71,29,7.51
SnGabesOJ,1394,22.6,3.64,1.06,34.41,117.8,16,8.55
SnGabesOP,1545,31.4,13.03,2.94,34.4,117.74,21,9.95
SnGabesBlOak,1742,41.1,21.82,7.06,34.38,117.7,24,11.8
Topanga,420,40,12.1,4.5,34.09,118.58,37,22.3
ColdCk,500,36,14,5,34.09,118.64,38,16
Chiquita,NA,44.7,14.24,5.21,33.7,117.3,30,10.85
SnJCapistran,545,36.9,15.6,5.76,33.6,117.46,20,5.8
BellCyn1,197,NA,15,NA,33.59,117.57,23,10.87
BellCny2,197,NA,15,NA,33.59,117.57,30,14.78
Caspers,158,40.8,14.24,5.73,33.59,117.57,27,9.65
StarrRnch,NA,NA,18,NA,33.59,117.55,32,9.33
Cleveland,NA,NA,NA,NA,33.56,117.44,17,2.59
CALiveOak,164,NA,11,NA,33.43,117.17,24,18.76
KitCarson,156,43.2,18.18,6.3,33.08,117.05,32,17.55
CuyamacaOC,1494,45.8,19.4,9.39,33,116.6,29,11.25
CuyamacaOP,1500,40,18.48,7.52,32.92,116.53,40,14.7
CuyamacaLO,NA,38.4,16.97,7.58,32.91,116.54,31,12.4
Descanso,NA,35.7,14.55,4.48,32.82,116.62,38,13.7
LaGiganta,1455,25,12,3,23.53,110.03,35,12.7
